q1,q2,q3,xe,ye,thetae
0.72,-2.79,1,97.92,-142.45,-61.31
1.44,-1.04,1,158.79,307.62,80.21
0.0,-1.6,1,233.5,-203.35,-34.38
2.8,-2.3,2,-112.55,183.68,143.24
2.58,-1.61,0,36.94,283.7,55.58
0.9,-0.77,1,265.18,236.26,64.74
1.86,-0.1,2,-167.45,176.92,215.43
2.68,-1.17,-1,4.96,251.12,29.22
2.53,-2.65,1,105.46,159.28,50.42
2.47,-0.56,-1,-65.24,306.12,52.14
0.4,-1.25,0,291.33,-144.71,-48.7
2.98,-2.11,0,39.35,219.64,49.85
0.44,-2.56,1,106.4,-172.52,-64.17
0.37,-0.22,0,378.28,85.86,8.59
0.99,-2.77,-1,-77.26,-64.47,-159.28
2.32,-2.32,0,171.46,95.19,0.0
2.73,-0.67,1,-309.8,177.36,175.33
1.77,-0.7,1,-25.54,355.6,118.6
3.02,-1.3,0,-167.69,272.88,98.55
2.25,-1.06,1,-108.8,327.7,125.48
1.03,-0.29,-1,288.56,165.69,-14.9
2.4,-0.66,0,-139.64,344.1,99.69
2.89,-2.72,-1,89.95,-41.57,-47.56
1.17,-2.04,0,218.37,-79.03,-49.85
1.35,-1.43,-1,219.33,1.8,-61.88
2.24,-1.82,-1,146.79,83.73,-33.23
0.84,-0.16,0,288.94,260.29,38.96
2.82,-1.27,-1,-9.8,239.01,31.51
1.02,-2.97,-1,-107.71,-34.75,-169.02
1.55,-2.75,1,177.22,-17.02,-11.46
2.2,-2.41,1,142.14,170.35,45.26
1.93,-1.02,0,113.88,326.97,52.14
1.31,-2.8,0,54.5,-133.55,-85.37
2.18,-0.78,-1,67.45,285.35,22.92
0.54,-2.87,0,-67.47,-121.76,-133.5
1.74,-0.84,0,139.73,331.81,51.57
2.15,-2.14,1,127.98,220.18,57.87
0.72,-1.3,0,315.22,-56.77,-33.23
2.4,-0.95,-1,36.86,273.41,25.78
1.81,-0.3,-1,90.55,319.52,29.22
3.12,-2.94,1,47.45,146.28,67.61
2.5,-0.41,0,-233.16,303.54,119.75
1.38,-2.65,1,188.46,-31.2,-15.47
1.53,-0.28,-1,172.25,285.42,14.32
2.69,-1.42,0,-39.93,305.06,72.77
0.55,-1.9,0,167.77,-185.74,-77.35
2.4,-2.36,0,163.93,98.21,2.29
2.4,-1.29,0,19.75,320.69,63.6
1.7,-2.23,1,211.32,122.07,26.93
2.95,-2.59,2,-98.23,162.12,135.22
0.1,-1.47,1,276.48,-161.42,-21.2
2.71,-0.92,0,-174.62,308.16,102.56
1.54,-0.28,-1,169.39,287.13,14.9
0.46,-2.48,-1,-69.01,-75.16,-173.03
1.14,-0.25,-1,265.33,204.87,-6.3
2.54,-2.7,1,107.93,149.67,48.13
0.46,-0.2,0,367.75,124.55,14.9
1.57,-3.05,1,127.2,-59.5,-27.5
1.36,-0.17,0,123.83,368.5,68.18
0.06,-3.11,0,-129.14,-15.99,-174.75
2.74,-0.0,1,-346.72,28.4,214.29
2.18,-1.3,0,91.27,307.01,50.42
0.46,-2.95,0,-90.24,-99.96,-142.67
0.96,-2.48,-1,-24.53,-99.04,-144.39
0.46,-2.27,-1,-37.23,-110.91,-161.0
0.79,-0.6,-1,308.8,22.74,-46.41
2.67,-0.18,1,-341.36,93.52,199.96
2.9,-2.18,0,69.24,202.54,41.25
2.93,-2.2,-1,95.06,79.32,-15.47
2.27,-1.16,1,-92.61,327.49,120.89
0.4,-2.5,-1,-75.78,-67.0,-177.62
2.33,-1.22,-1,97.54,225.01,6.3
2.05,-1.7,-1,165.67,81.26,-37.24
0.93,-2.42,1,202.91,-86.55,-28.07
0.11,-2.38,0,-38.12,-184.72,-130.06
0.3,-0.7,-1,266.03,-140.32,-80.21
1.2,-1.86,2,179.54,168.01,76.78
1.47,-2.44,1,216.51,26.0,1.72
0.57,-1.16,0,325.49,-74.5,-33.8
1.71,-0.36,-1,132.55,300.16,20.05
0.48,-2.11,1,212.66,-146.33,-36.1
0.85,-1.41,0,306.08,-40.44,-32.09
2.06,-2.84,0,123.75,-68.1,-44.69
1.06,-0.62,1,198.13,297.67,82.51
1.84,-0.19,-2,77.26,210.33,-20.05
2.41,-2.03,0,144.72,183.29,21.77
0.61,-0.1,0,333.47,201.4,29.22
0.12,-0.87,-1,201.01,-200.97,-100.27
2.95,-2.39,-1,100.14,38.44,-25.21
0.18,-1.74,0,130.71,-236.71,-89.38
2.23,-2.16,-1,127.78,7.64,-53.29
1.58,-1.39,0,254.12,179.1,10.89
0.9,-1.53,-1,178.16,-104.53,-93.39
1.58,-1.97,-1,142.42,-47.31,-79.64
3.12,-0.31,-1,-283.69,171.43,103.71
1.45,-1.13,1,171.33,295.88,75.63
2.96,-2.02,-1,78.58,120.66,-3.44
0.59,-0.64,0,367.7,59.33,-2.86
0.38,-0.97,-1,226.25,-154.08,-91.1
0.64,-1.09,1,332.16,89.04,31.51
2.45,-1.29,1,-120.46,310.17,123.76
2.67,-0.72,0,-212.06,300.59,111.73
2.43,-1.5,-1,108.95,180.01,-4.01
2.92,-2.94,1,75.57,133.94,56.15
1.42,-1.76,1,244.79,164.88,37.82
0.12,-2.14,-1,-56.43,-117.31,-173.03
1.4,-1.55,1,236.43,206.35,48.7
1.74,-0.73,0,116.39,348.32,57.87
2.88,-1.84,-1,70.13,150.93,2.29
0.44,-3.02,1,6.39,-143.85,-90.53
0.34,-2.95,1,5.4,-152.44,-92.25
1.44,-0.91,0,241.28,260.33,30.37
2.63,-0.31,1,-329.83,135.76,190.22
0.79,-3.14,1,28.62,-126.99,-77.35
1.28,-2.37,0,157.52,-105.98,-62.45
2.06,-2.07,-1,138.05,3.36,-57.87
0.54,-0.85,1,335.57,109.93,39.53
3.05,-0.04,0,-387.21,46.01,172.46
0.12,-3.12,0,-128.33,-21.13,-171.89
1.03,-2.69,0,43.76,-147.52,-95.11
1.26,-2.12,0,209.39,-73.27,-49.27
0.16,-2.25,-1,-65.99,-98.86,-177.04
0.02,-1.7,1,216.89,-208.37,-38.96
1.56,-2.57,1,200.54,18.6,-0.57
0.16,-1.36,1,302.85,-126.28,-11.46
0.35,-0.68,0,368.09,-39.67,-18.91
2.31,-0.07,1,-297.6,185.26,185.64
2.63,-0.73,1,-281.61,217.77,166.16
3.11,-1.02,0,-258.94,229.84,119.75
2.09,-2.16,-1,127.59,-10.26,-61.31
1.79,-0.92,-1,184.46,209.4,-7.45
0.18,-1.34,0,231.73,-215.09,-66.46
1.3,-0.46,1,86.97,347.38,105.42
1.97,-0.62,1,-113.41,339.11,134.65
0.49,-0.34,-1,329.04,-17.06,-48.7
2.63,-0.07,0,-330.61,206.48,146.68
2.99,-2.85,1,54.51,155.89,65.32
3.02,-0.54,0,-334.18,175.51,142.09
0.42,-1.73,0,185.74,-198.2,-75.06
2.16,-0.28,1,-237.38,265.54,165.01
0.13,-0.23,1,339.06,105.71,51.57
2.99,-1.93,1,-126.05,247.79,118.03
1.48,-2.52,0,143.4,-94.76,-59.59
2.95,-1.62,-1,26.37,193.13,18.91
2.55,-1.22,1,-166.39,293.05,133.5
0.16,-2.56,-1,-93.21,-33.88,-194.81
2.39,-0.54,-1,-45.01,311.4,48.7
1.98,-1.04,1,-21.97,345.49,111.15
3.02,-1.05,0,-230.1,255.32,112.87
1.4,-2.12,1,244.77,78.31,16.04
0.63,-0.8,1,320.9,150.53,47.56
2.73,-2.65,1,71.71,177.05,61.88
2.94,-1.84,0,-9.43,257.74,63.03
1.76,-0.21,0,-19.04,387.62,88.81
1.71,-1.15,-1,209.72,142.42,-25.21
1.27,-3.1,-1,-118.54,-41.35,-162.15
0.83,-2.27,1,222.31,-88.33,-25.21
2.96,-2.91,0,131.81,36.47,2.86
2.74,-0.67,2,-259.78,60.86,233.19
2.75,-0.37,-1,-189.59,266.97,79.07
0.15,-2.15,-1,-54.26,-117.13,-171.89
3.02,-1.42,1,-244.23,212.73,148.97
0.18,-2.98,0,-117.08,-63.82,-160.43
0.07,-0.5,1,357.29,25.05,32.66
2.11,-1.19,1,-32.47,337.14,110.01
1.56,-2.64,-1,-0.7,-98.17,-119.18
0.95,-2.15,0,169.83,-136.59,-68.75
2.18,-1.4,1,-8.97,325.21,101.99
1.05,-2.68,-1,-56.36,-80.65,-150.69
2.2,-0.2,1,-259.3,241.66,171.89
2.1,-1.76,0,179.49,198.92,19.48
0.95,-0.22,-1,297.78,157.76,-15.47
0.39,-2.93,-1,-106.76,26.28,-202.83
2.08,-2.71,0,146.71,-39.67,-36.1
1.31,-2.55,-1,-4.9,-99.31,-128.34
1.82,-1.91,0,226.89,102.62,-5.16
1.86,-1.86,1,163.16,233.99,57.3
2.94,-0.44,-1,-222.32,233.51,85.94
2.8,-2.5,1,36.48,207.23,74.48
1.67,-3.13,-1,-99.46,-81.75,-140.95
1.05,-2.98,-1,-108.12,-36.24,-167.88
1.66,-0.43,-1,158.45,281.64,13.18
1.97,-2.05,0,208.64,99.0,-4.58
0.27,-3.14,0,-125.18,-35.07,-164.44
2.16,-0.86,1,-124.08,330.28,131.78
1.38,-2.95,-1,-84.58,-72.69,-147.25
2.82,-1.11,-1,-42.79,254.57,40.68
2.9,-1.98,0,31.29,237.96,52.71
2.11,-0.96,0,39.46,348.87,65.89
1.22,-1.77,0,266.33,-13.82,-31.51
0.74,-1.8,-1,98.46,-140.5,-118.03
1.4,-0.51,-1,233.13,214.86,-6.3
2.62,-2.68,0,146.82,49.18,-3.44
3.05,-1.25,0,-188.53,265.09,103.13
0.0,-2.04,1,137.03,-228.06,-59.59
2.58,-2.94,-1,38.83,-103.69,-77.92
1.9,-2.6,-1,40.65,-89.65,-97.4
2.91,-1.68,1,-162.7,255.12,127.77
0.61,-2.58,-1,-72.07,-67.5,-170.17
2.89,-1.54,1,-188.79,251.7,134.65
2.91,-2.66,0,125.39,94.16,14.32
0.82,-1.0,0,344.49,48.5,-10.31
1.43,-0.23,-1,192.76,275.71,11.46
2.7,-1.84,1,-69.79,278.68,106.57
0.65,-2.78,1,89.99,-149.1,-64.74
3.11,-0.65,1,-354.35,45.31,198.24
0.48,-2.02,-1,12.14,-143.48,-145.53
0.5,-0.81,0,361.69,-16.99,-17.76
2.11,-2.74,0,143.34,-41.62,-36.1
0.55,-0.03,-1,338.95,72.51,-27.5
1.94,-2.32,1,179.62,148.55,35.52
0.01,-0.67,-1,221.11,-207.89,-95.11
0.55,-0.89,1,336.09,104.3,37.82
2.23,-2.54,0,167.98,23.45,-17.76
3.0,-2.6,-1,98.33,-4.43,-34.38
1.32,-0.79,-2,157.51,62.31,-84.22
0.21,-1.78,-1,17.91,-173.23,-147.25
2.02,-0.48,1,-159.63,320.62,145.53
2.2,-1.61,0,139.54,249.76,33.8
1.04,-2.12,-1,63.71,-116.05,-119.18
0.13,-1.5,-1,61.65,-201.18,-135.79
0.97,-1.49,-1,192.91,-87.19,-87.09
2.53,-0.36,0,-253.07,289.35,124.33
2.33,-0.04,1,-303.7,172.88,188.5
2.97,-3.02,-1,66.43,-97.06,-60.16
1.63,-0.08,-1,105.84,327.69,31.51
2.86,-2.29,0,94.01,176.43,32.66
1.28,-1.38,1,247.43,213.4,51.57
3.07,-1.23,-1,-77.47,231.42,48.13
2.45,-0.55,-1,-61.35,307.76,51.57
2.21,-0.72,1,-170.43,312.75,142.67
2.96,-2.03,1,-95.84,249.39,110.58
2.8,-0.71,1,-316.82,163.12,177.04
2.34,-2.17,1,88.42,235.09,67.04
1.12,-1.38,1,278.27,171.25,42.4
0.78,-1.84,0,219.53,-135.39,-60.73
0.04,-0.88,-1,182.09,-216.92,-105.42
0.63,-0.71,1,313.38,169.63,52.71
2.56,-0.0,1,-336.04,90.01,203.97
2.72,-1.55,1,-141.22,280.25,124.33
0.18,-0.85,0,331.69,-138.18,-38.39
0.4,-1.4,-1,135.88,-176.98,-114.59
1.01,-2.74,1,145.41,-104.96,-41.83
0.49,-1.26,1,334.61,0.32,13.18
1.53,-1.85,-1,160.97,-36.93,-75.63
0.91,-0.5,0,318.24,206.27,23.49
2.13,-1.59,-1,159.02,119.32,-26.36
2.01,-2.22,1,163.37,182.91,45.26
1.9,-0.08,0,-106.15,374.99,104.28
1.17,-1.95,0,235.56,-63.16,-44.69
1.12,-1.81,1,280.7,73.92,17.76
1.75,-2.73,0,121.65,-88.01,-56.15
0.48,-2.21,-1,-24.44,-120.33,-156.42
1.85,-0.61,-1,132.67,278.82,13.75
1.82,-2.94,-1,-43.28,-101.91,-121.47
0.77,-1.2,0,329.66,-17.89,-24.64
2.89,-2.08,0,53.36,220.68,46.41
2.45,-2.51,-1,93.19,-38.29,-60.73
1.57,-2.2,-1,97.46,-76.36,-93.39
0.6,-1.99,0,154.05,-182.36,-79.64
1.04,-1.69,0,272.79,-45.24,-37.24
2.99,-0.66,1,-345.69,89.58,190.79
1.24,-0.91,1,196.21,291.33,76.2
3.08,-2.11,1,-106.79,235.02,112.87
2.08,-1.31,2,-91.17,251.21,158.71
1.85,-1.68,-2,58.98,21.3,-104.85
2.16,-1.99,2,-17.43,237.43,124.33
2.92,-2.44,0,103.8,148.63,27.5
1.54,-1.58,2,84.57,245.02,112.3
0.38,-0.75,1,346.97,77.8,36.1
1.48,-2.83,0,68.73,-124.22,-77.35
0.63,-2.35,1,183.45,-137.69,-41.25
1.0,-2.74,1,144.35,-106.41,-42.4
3.02,-0.33,0,-362.98,129.23,154.13
2.57,-1.32,-1,57.62,225.86,14.32
1.44,-1.3,0,274.41,165.17,8.02
1.67,-0.23,-1,121.7,313.62,25.21
2.44,-2.41,-1,104.13,-19.43,-55.58
1.56,-0.37,1,-25.73,356.54,125.48
0.22,-1.75,-1,25.73,-176.16,-144.96
2.58,-1.68,1,-71.25,294.08,108.86
2.03,-1.95,1,133.24,241.58,61.88
0.02,-0.76,1,351.61,-51.64,14.9
1.54,-0.26,1,-43.38,353.13,130.63
1.64,-1.87,1,210.92,190.55,44.12
1.84,-2.39,0,187.08,-10.58,-31.51
0.84,-3.11,0,-80.57,-102.19,-130.06
0.19,-0.69,1,355.83,24.55,28.65
1.66,-2.44,1,207.7,66.43,12.61
1.82,-0.08,2,-161.36,180.9,214.29
1.03,-2.85,-1,-88.47,-55.63,-161.57
1.08,-2.41,0,123.28,-137.84,-76.2
2.18,-1.21,1,-51.43,333.63,112.87
2.77,-0.88,-1,-80.1,271.66,50.99
1.18,-0.76,0,286.92,226.22,24.06
0.55,-0.77,1,330.11,131.01,44.69
0.28,-2.3,1,136.52,-191.95,-58.44
0.88,-1.71,1,298.69,26.26,9.74
2.23,-2.0,1,90.4,254.92,70.47
2.84,-1.04,1,-276.16,208.76,160.43
2.18,-2.13,-1,131.07,7.37,-54.43
2.17,-1.05,1,-84.54,335.25,121.47
2.57,-0.42,0,-251.65,287.92,123.19
1.44,-0.63,-1,234.25,198.5,-10.89
2.93,-2.75,-1,89.49,-44.47,-46.98
0.47,-2.55,1,113.8,-169.29,-61.88
0.67,-2.78,-1,-94.79,-34.93,-178.19
1.4,-2.44,2,162.46,122.49,55.0
1.69,-0.7,1,2.96,356.5,114.02
2.36,-2.21,0,164.81,130.43,8.59
1.24,-0.77,-1,270.29,116.11,-30.37
1.45,-1.43,-1,218.05,23.69,-56.15
0.88,-0.58,1,241.8,263.88,74.48
2.17,-0.71,1,-159.9,318.46,140.95
1.25,-2.34,0,161.24,-107.15,-62.45
1.93,-2.42,-1,79.5,-69.05,-85.37
2.61,-1.76,1,-62.09,288.53,106.0
1.44,-1.06,0,258.41,225.33,21.77
2.4,-1.64,0,92.6,266.93,43.54
2.95,-1.66,0,-55.57,274.57,73.91
0.8,-2.49,-1,-41.86,-92.55,-154.13
0.75,-1.55,1,313.1,21.18,11.46
1.68,-2.76,-1,-16.27,-98.94,-119.18
2.32,-2.49,0,167.71,51.2,-9.74
0.76,-0.98,1,313.51,152.62,44.69
2.26,-2.8,0,140.33,-33.35,-30.94
2.04,-0.63,-1,81.26,296.09,23.49
2.47,-1.06,-1,38.27,261.03,23.49
0.5,-1.58,0,236.63,-166.98,-61.88
0.75,-1.46,1,318.28,41.05,16.62
2.44,-2.76,0,147.51,2.12,-18.33
0.17,-1.9,-1,-11.63,-158.37,-156.42
2.66,-1.13,-1,2.25,255.83,30.37
0.52,-0.91,0,353.29,-34.25,-22.35
2.63,-2.61,0,146.59,68.84,1.15
0.85,-0.8,-1,291.25,-1.58,-54.43
0.69,-0.7,-1,299.4,-28.64,-57.87
0.3,-2.18,1,167.46,-185.61,-50.42
2.09,-2.54,-1,68.22,-72.73,-83.08
1.02,-0.67,-1,293.65,76.68,-37.24
0.37,-1.37,-2,62.74,-80.73,-171.89
1.06,-1.28,0,317.29,56.67,-12.61
2.91,-3.11,-1,47.99,-117.15,-68.75
1.16,-0.24,-1,260.25,212.22,-4.58
1.43,-0.93,1,141.52,320.71,85.94
2.45,-2.37,0,159.04,103.69,4.58
2.97,-2.45,0,97.54,151.39,29.79
1.11,-1.33,1,277.09,179.5,44.69
0.53,-1.54,0,250.45,-154.46,-57.87
1.6,-1.93,-1,150.19,-38.43,-76.2
0.72,-0.91,0,353.06,36.62,-10.89
0.67,-0.31,-1,327.84,48.89,-36.67
0.96,-1.52,0,294.84,-31.61,-32.09
1.85,-0.13,0,-74.48,382.08,98.55
0.6,-0.08,0,332.93,202.59,29.79
2.14,-0.46,1,-200.63,296.63,153.55
2.93,-1.1,-1,-72.69,248.89,47.56
2.99,-1.77,-2,8.58,50.29,-44.69
0.01,-0.08,0,389.36,-16.89,-4.01
1.82,-1.22,-1,194.97,148.76,-22.92
0.65,-1.99,1,255.79,-91.23,-19.48
0.1,-2.22,-1,-68.48,-100.71,-178.76
0.99,-0.81,1,248.75,252.16,67.61
1.28,-1.17,-1,248.31,37.79,-50.99
0.76,-1.04,2,199.84,182.19,98.55
2.62,-0.66,0,-211.37,305.33,112.3
0.01,-1.28,1,293.8,-157.54,-15.47
0.65,-2.9,0,-59.83,-123.62,-128.92
2.74,-2.13,1,-18.2,255.19,92.25
2.97,-0.16,-1,-281.81,190.82,103.71
2.91,-1.59,0,-62.0,281.7,75.63
0.82,-2.83,0,-21.87,-140.27,-115.16
2.79,-0.01,-1,-270.64,217.93,101.99
1.48,-1.41,-1,219.19,34.35,-53.29
0.77,-0.26,1,214.68,283.72,86.52
0.3,-2.59,1,74.58,-184.29,-73.91
0.37,-0.66,-1,281.8,-115.07,-73.91
2.98,-1.21,1,-275.16,195.55,158.71
2.32,-0.03,0,-259.82,290.8,131.21
2.76,-1.91,-1,93.69,126.65,-8.59
0.42,-0.69,1,340.86,105.03,41.83
0.79,-2.11,1,247.16,-74.48,-18.33
2.39,-0.28,-1,-103.92,316.76,63.6
2.28,-1.26,-1,113.35,212.03,1.15
0.01,-3.13,0,-129.95,-4.31,-178.76
1.63,-1.39,-1,212.81,71.11,-43.54
0.14,-3.1,-1,-87.97,89.57,-226.89
0.51,-0.87,-1,262.32,-109.46,-77.92
0.88,-0.78,-1,292.99,11.34,-51.57
3.07,-0.65,0,-324.86,181.05,138.66
0.65,-0.46,-1,320.79,9.07,-46.41
1.7,-1.74,0,243.04,118.52,-2.29
1.13,-2.33,-1,26.07,-108.7,-126.05
2.49,-1.93,0,116.92,216.95,32.09
0.8,-0.61,-1,307.87,23.65,-46.41
1.05,-0.97,-1,273.03,19.73,-52.71
0.57,-2.23,-1,-17.35,-119.55,-152.41
1.95,-2.25,1,175.5,166.1,40.11
0.29,-0.52,-1,294.6,-114.99,-70.47
1.61,-2.73,1,180.61,-2.68,-6.88
0.52,-2.02,-1,17.86,-142.88,-143.24
2.13,-2.43,0,179.42,33.36,-17.19
1.64,-0.23,0,32.64,386.33,80.79
3.07,-3.0,-1,77.73,-85.82,-53.29
0.13,-2.24,0,-4.59,-206.26,-120.89
1.09,-0.41,-1,284.61,156.11,-18.33
2.6,-1.4,1,-140.79,293.28,126.05
3.04,-0.34,-1,-263.61,197.66,97.4
2.7,-2.22,1,9.57,245.06,84.8
2.85,-2.89,0,135.28,26.97,-2.29
2.25,-0.05,1,-287.95,198.67,183.35
2.34,-1.07,1,-135.58,317.06,130.06
2.17,-0.5,0,-99.07,366.07,95.68
0.78,-0.47,1,249.74,256.69,75.06
0.02,-1.62,0,122.38,-257.29,-91.67
0.14,-1.48,1,281.02,-151.77,-19.48
1.82,-0.58,-1,136.44,279.84,13.75
2.08,-1.18,1,-24.59,338.36,108.86
1.67,-0.55,1,-24.1,357.26,121.47
2.3,-0.91,1,-158.22,313.59,136.94
1.85,-1.2,1,57.38,333.23,94.54
0.77,-1.94,1,272.17,-51.19,-9.74
1.28,-1.85,0,256.17,-15.76,-32.66
1.99,-0.39,1,-168.11,315.7,148.97
0.25,-0.39,0,383.41,-4.12,-8.02
1.85,-2.5,0,171.16,-32.38,-37.24
0.54,-1.36,0,288.88,-123.26,-46.98
1.57,-2.16,1,227.35,109.49,23.49
2.47,-2.5,0,158.11,73.09,-1.72
2.96,-2.39,-1,99.75,39.44,-24.64
1.1,-2.76,0,35.81,-143.11,-95.11
0.22,-1.03,-1,185.7,-192.09,-103.71
3.05,-1.19,1,-291.41,172.62,163.87
2.5,-1.44,-1,89.17,199.0,3.44
0.67,-0.57,0,360.6,106.68,5.73
2.94,-1.58,-1,21.5,198.95,20.63
0.94,-1.08,0,334.13,68.7,-8.02
3.11,-0.9,-1,-161.59,230.07,69.33
2.81,-1.98,1,-68.5,263.91,104.85
1.31,-0.19,-1,219.22,258.18,6.88
2.68,-2.56,0,141.74,89.02,6.88
1.06,-1.68,1,290.08,86.09,21.77
1.79,-3.08,-1,-77.89,-95.82,-131.21
2.64,-3.07,1,113.63,78.47,32.66
0.57,-1.66,-1,105.07,-157.98,-119.75
2.08,-2.7,1,163.16,86.19,21.77
0.7,-1.86,-1,79.1,-143.52,-123.76
1.72,-0.5,-1,152.22,279.01,12.61
2.1,-1.87,-1,154.28,51.36,-44.12
2.73,-3.06,-1,34.84,-116.37,-76.2
0.37,-0.27,1,309.52,175.85,63.03
1.33,-3.13,-1,-121.02,-43.9,-160.43
0.66,-0.88,0,356.43,22.97,-12.61
1.49,-2.13,-1,105.78,-77.75,-93.97
2.74,-0.82,1,-290.96,201.54,167.3
2.43,-0.67,1,-243.55,260.99,158.14
1.28,-0.28,0,177.75,343.32,57.3
0.01,-2.49,-1,-95.21,-35.41,-199.39
0.88,-0.15,2,60.56,238.9,156.42
1.07,-0.45,-1,288.95,141.35,-21.77
2.75,-0.08,0,-351.78,167.74,152.98
1.48,-0.06,0,50.85,386.51,81.36
1.27,-0.47,-1,256.5,191.59,-11.46
2.23,-2.22,0,180.36,105.36,0.57
0.27,-0.89,1,351.82,7.36,21.77
0.55,-1.49,1,317.27,-29.24,3.44
2.73,-0.23,0,-327.44,207.61,143.24
0.18,-2.29,1,118.96,-204.72,-63.6
1.6,-1.67,1,203.6,225.06,53.29
0.61,-1.6,1,307.88,-32.91,0.57
3.08,-0.06,0,-387.83,39.54,173.03
2.16,-1.94,0,181.49,164.82,12.61
1.85,-0.51,-1,116.47,294.87,19.48
2.75,-1.95,-1,97.82,117.05,-11.46
2.15,-0.68,-1,57.83,297.01,26.93
2.59,-1.92,-1,114.16,106.73,-18.91
1.43,-2.34,0,177.82,-76.56,-52.14
2.59,-1.01,1,-221.95,267.35,147.82
1.29,-0.51,0,220.86,307.76,44.69
2.78,-0.38,0,-313.32,221.61,137.51
1.36,-1.78,-1,165.43,-54.41,-81.36
1.2,-2.14,0,200.45,-88.8,-53.86
1.2,-1.96,0,235.56,-57.95,-43.54
0.45,-2.54,-1,-77.27,-63.03,-177.04
0.42,-2.31,0,37.11,-193.86,-108.29
1.97,-2.66,0,149.99,-45.72,-39.53
0.34,-0.35,-1,321.69,-68.03,-57.87
0.56,-0.69,1,322.87,151.56,49.85
0.48,-1.11,1,341.56,30.45,21.2
0.84,-2.46,1,186.18,-108.57,-35.52
2.61,-2.6,-1,89.26,-41.49,-56.72
3.05,-0.6,-1,-213.92,223.85,83.08
2.54,-2.32,1,64.36,224.03,69.9
1.12,-2.17,-1,61.38,-111.11,-117.46
1.2,-2.92,1,125.52,-93.11,-41.25
1.27,-0.57,-1,262.14,169.49,-17.19
1.48,-2.69,1,184.82,-19.27,-12.03
2.2,-0.89,0,-9.46,356.31,75.06
0.24,-0.52,-1,288.48,-129.57,-73.34
2.85,-0.72,1,-323.47,149.08,179.34
0.63,-2.61,-2,-33.6,53.99,-228.04
2.43,-2.63,0,156.37,33.24,-11.46
1.82,-0.39,-1,104.35,308.89,24.64
1.5,-2.01,0,236.11,2.75,-29.22
1.76,-0.29,0,1.71,386.36,84.22
0.55,-3.01,0,-91.08,-95.86,-140.95
0.04,-0.03,0,389.88,7.8,0.57
0.04,-3.03,0,-127.12,-34.06,-171.31
1.66,-1.37,0,237.56,203.83,16.62
2.74,-0.36,0,-307.83,230.23,136.36
0.4,-0.9,-1,243.02,-141.38,-85.94
0.81,-2.36,1,203.17,-103.76,-31.51
0.16,-1.83,-1,-0.35,-167.71,-152.98
0.9,-1.78,1,292.7,17.2,6.88
1.8,-2.07,-1,134.27,-32.24,-72.77
1.32,-1.51,1,249.56,195.54,46.41
2.83,-1.67,-1,56.51,179.75,9.17
1.43,-0.23,0,112.46,371.04,68.75
0.37,-0.33,0,380.99,57.41,2.29
2.6,-2.39,1,61.64,215.75,69.33
2.45,-2.23,0,153.6,139.65,12.61
0.69,-1.51,-1,156.89,-138.28,-104.28
0.74,-0.89,0,353.08,48.8,-8.59
0.62,-0.56,0,365.34,91.13,3.44
2.93,-1.61,-1,28.56,194.13,18.33
0.11,-2.15,0,11.65,-217.63,-116.88
2.18,-3.0,1,142.2,34.84,10.31
1.52,-0.73,0,189.6,314.52,45.26
2.77,-0.2,0,-339.8,187.86,147.25
0.58,-2.45,-1,-54.81,-87.86,-164.44
2.82,-1.28,-1,-7.83,237.87,30.94
0.04,-2.5,1,43.32,-205.91,-83.65
1.75,-2.02,-1,140.63,-30.92,-72.77
1.82,-1.96,0,225.39,89.7,-8.02
3.11,-0.44,-1,-258.62,192.53,95.68
2.89,-0.8,-1,-130.29,260.49,62.45
2.27,-1.82,1,49.05,285.09,83.08
1.27,-2.31,1,234.22,6.85,-2.29
0.2,-0.22,0,387.36,20.63,-1.15
2.43,-0.59,-1,-46.26,307.02,48.13
1.96,-2.59,0,160.76,-32.9,-36.1
0.55,-3.06,0,-99.01,-85.56,-143.81
2.71,-1.05,1,-244.87,244.08,152.41
2.34,-0.59,-1,-18.48,309.93,42.97
0.78,-2.2,0,131.48,-165.62,-81.36
1.85,-1.01,0,137.71,318.57,48.13
2.0,-2.29,1,169.06,165.77,40.68
1.1,-0.98,0,317.1,146.98,6.88
2.22,-0.95,1,-123.74,327.21,130.06
2.43,-1.38,0,30.92,310.43,60.16
0.65,-0.8,0,360.57,39.82,-8.59
0.22,-2.32,0,-4.39,-196.06,-120.32
0.84,-2.57,1,163.03,-118.25,-41.83
2.26,-2.3,0,177.12,89.93,-2.29
2.22,-3.14,1,129.75,10.51,4.58
1.62,-1.22,1,135.44,308.58,80.21
0.58,-2.34,-1,-36.36,-104.85,-158.14
0.39,-2.44,-1,-69.16,-77.82,-174.75
3.03,-0.59,0,-327.78,182.29,139.8
1.06,-1.68,0,275.16,-37.66,-35.52
2.0,-0.3,0,-87.6,376.04,97.4
1.72,-2.13,1,207.92,149.06,33.8
2.04,-0.22,-1,-2.16,336.98,46.98
1.85,-2.52,0,167.97,-36.49,-38.39
2.67,-2.17,0,112.36,183.71,28.65
2.2,-2.59,-1,67.11,-72.2,-79.64
2.85,-2.06,-1,94.13,102.62,-12.03
0.84,-2.02,0,185.81,-143.59,-67.61
0.95,-0.29,-1,300.88,142.1,-19.48
2.88,-2.49,0,114.9,132.47,22.35
2.48,-2.03,-1,125.31,68.46,-31.51
